Country,StateName,StateCode,Year,Month,Date,City,Station,AQI_avg,AQI_max,AQI_min,AQI_count
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",02-01-2020,Jammu,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",02-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",01-01-2020,Jammu,Moderate,138.8940141,138.8940141,138.8940141,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",01-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",03-01-2020,Jammu,Moderate,134.0033798,134.0033798,134.0033798,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",03-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",04-01-2020,Jammu,Moderate,138.8940141,138.8940141,138.8940141,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",04-01-2020,Pulwama,Moderate,145.7409021,145.7409021,145.7409021,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",05-01-2020,Jammu,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",05-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",06-01-2020,Jammu,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",06-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",07-01-2020,Jammu,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",07-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",08-01-2020,Jammu,Moderate,132.0471261,132.0471261,132.0471261,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",08-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",09-01-2020,Jammu,Moderate,136.9377604,136.9377604,136.9377604,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",09-01-2020,Pulwama,Moderate,116.3970963,116.3970963,116.3970963,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",10-01-2020,Jammu,Moderate,141.8283947,141.8283947,141.8283947,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",10-01-2020,Pulwama,Moderate,135.9596335,135.9596335,135.9596335,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",11-01-2020,Jammu,Moderate,134.9815067,134.9815067,134.9815067,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",11-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",12-01-2020,Jammu,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",12-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",13-01-2020,Jammu,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",13-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",14-01-2020,Jammu,Moderate,145.7409021,145.7409021,145.7409021,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",14-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",15-01-2020,Jammu,Moderate,132.0471261,132.0471261,132.0471261,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",15-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",16-01-2020,Jammu,Moderate,144.7627753,144.7627753,144.7627753,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",16-01-2020,Pulwama,Moderate,140.8502678,140.8502678,140.8502678,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",17-01-2020,Jammu,Moderate,139.872141,139.872141,139.872141,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",17-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",18-01-2020,Jammu,Moderate,138.8940141,138.8940141,138.8940141,1
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",18-01-2020,Pulwama,,,,,0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020","January, 2020",19-01-2020,Jammu,,,,,0
